,date,rd_link_cd,signgu_cd,signgu_nm,adstrd_cd,adstrd_nm,dayweek_cd,agrde_cd,tmzon_cd,flpop_co
8744815,201612,25592,11290,己合备,11290640,沥釜3悼,1,40,2,4.713
8744822,201612,25592,11290,己合备,11290640,沥釜3悼,1,50,2,4.202
8744829,201612,25592,11290,己合备,11290640,沥釜3悼,1,60,2,3.576
8744836,201612,25592,11290,己合备,11290640,沥釜3悼,2,0,2,9.2725
8744850,201612,25592,11290,己合备,11290640,沥釜3悼,2,20,2,1.265
8744857,201612,25592,11290,己合备,11290640,沥釜3悼,2,30,2,1.545
8744864,201612,25592,11290,己合备,11290640,沥釜3悼,2,40,2,2.1075
8744871,201612,25592,11290,己合备,11290640,沥釜3悼,2,50,2,2.53
8744878,201612,25592,11290,己合备,11290640,沥釜3悼,2,60,2,1.825
8751353,201612,25663,11290,己合备,11290640,沥釜3悼,1,0,2,3.909
8751360,201612,25663,11290,己合备,11290640,沥釜3悼,1,10,2,0.266
8751374,201612,25663,11290,己合备,11290640,沥釜3悼,1,30,2,0.7945
8751381,201612,25663,11290,己合备,11290640,沥釜3悼,1,40,2,1.457
8751388,201612,25663,11290,己合备,11290640,沥釜3悼,1,50,2,1.1255
8751395,201612,25663,11290,己合备,11290640,沥釜3悼,1,60,2,0.266
8751402,201612,25663,11290,己合备,11290640,沥釜3悼,2,0,2,0.81625
8751423,201612,25663,11290,己合备,11290640,沥釜3悼,2,30,2,0.16375
8751430,201612,25663,11290,己合备,11290640,沥釜3悼,2,40,2,0.32625
8751437,201612,25663,11290,己合备,11290640,沥釜3悼,2,50,2,0.32625
8751843,201612,25668,11290,己合备,11290640,沥釜3悼,1,0,2,0.25266665
8751857,201612,25668,11290,己合备,11290640,沥釜3悼,1,20,2,0.25266665
8752431,201612,25673,11290,己合备,11290640,沥釜3悼,1,0,2,0.379
8752445,201612,25673,11290,己合备,11290640,沥釜3悼,1,20,2,0.379
8753705,201612,25685,11290,己合备,11290640,沥釜3悼,1,0,2,0.575
8753719,201612,25685,11290,己合备,11290640,沥釜3悼,1,20,2,0.575
8754685,201612,25695,11290,己合备,11290640,沥釜3悼,1,0,2,13.354
8754699,201612,25695,11290,己合备,11290640,沥釜3悼,1,20,2,1.733125
8754706,201612,25695,11290,己合备,11290640,沥釜3悼,1,30,2,2.82925
